index;genre;totals;start_date;end_date
0;mellow_gold;115;1993-01-01;1997-12-31
1;soft_rock;117;1993-01-01;1997-12-31
2;adult_standards;30;1993-01-01;1997-12-31
3;brill_building_pop;5;1993-01-01;1997-12-31
4;rock;185;1993-01-01;1997-12-31
5;dance_pop;246;1993-01-01;1997-12-31
6;pop;116;1993-01-01;1997-12-31
7;soul;60;1993-01-01;1997-12-31
8;motown;35;1993-01-01;1997-12-31
9;pop_rap;91;1993-01-01;1997-12-31
10;rap;210;1993-01-01;1997-12-31
11;folk_rock;27;1993-01-01;1997-12-31
12;album_rock;66;1993-01-01;1997-12-31
13;classic_rock;41;1993-01-01;1997-12-31
14;quiet_storm;198;1993-01-01;1997-12-31
15;hip_hop;328;1993-01-01;1997-12-31
16;bubblegum_pop;1;1993-01-01;1997-12-31
17;rock-and-roll;4;1993-01-01;1997-12-31
18;funk;77;1993-01-01;1997-12-31
19;classic_soul;8;1993-01-01;1997-12-31
20;urban_contemporary;301;1993-01-01;1997-12-31
21;country;72;1993-01-01;1997-12-31
22;r&b;309;1993-01-01;1997-12-31
23;disco;22;1993-01-01;1997-12-31
24;post-teen_pop;3;1993-01-01;1997-12-31
25;new_wave_pop;109;1993-01-01;1997-12-31
26;contemporary_country;35;1993-01-01;1997-12-31
27;country_rock;39;1993-01-01;1997-12-31
28;southern_soul;9;1993-01-01;1997-12-31
29;country_road;45;1993-01-01;1997-12-31
30;trap;21;1993-01-01;1997-12-31
31;pop_rock;183;1993-01-01;1997-12-31
32;folk;43;1993-01-01;1997-12-31
33;southern_hip_hop;82;1993-01-01;1997-12-31
34;hard_rock;35;1993-01-01;1997-12-31
35;lounge;5;1993-01-01;1997-12-31
36;hip_pop;235;1993-01-01;1997-12-31
37;rhythm_and_blues;3;1993-01-01;1997-12-31
38;rockabilly;3;1993-01-01;1997-12-31
39;art_rock;16;1993-01-01;1997-12-31
40;dance_rock;44;1993-01-01;1997-12-31
41;new_jack_swing;265;1993-01-01;1997-12-31
42;merseybeat;3;1993-01-01;1997-12-31
43;doo-wop;2;1993-01-01;1997-12-31
44;psychedelic_rock;8;1993-01-01;1997-12-31
45;gangster_rap;188;1993-01-01;1997-12-31
46;roots_rock;13;1993-01-01;1997-12-31
47;blues_rock;4;1993-01-01;1997-12-31
