index;genre;totals;start_date;end_date
0;mellow_gold;5;2013-01-01;2017-12-31
1;soft_rock;3;2013-01-01;2017-12-31
2;adult_standards;12;2013-01-01;2017-12-31
3;brill_building_pop;5;2013-01-01;2017-12-31
4;rock;21;2013-01-01;2017-12-31
5;dance_pop;576;2013-01-01;2017-12-31
6;pop;813;2013-01-01;2017-12-31
7;soul;5;2013-01-01;2017-12-31
8;motown;5;2013-01-01;2017-12-31
9;pop_rap;646;2013-01-01;2017-12-31
10;rap;586;2013-01-01;2017-12-31
11;folk_rock;2;2013-01-01;2017-12-31
12;album_rock;3;2013-01-01;2017-12-31
13;classic_rock;3;2013-01-01;2017-12-31
14;quiet_storm;1;2013-01-01;2017-12-31
15;hip_hop;427;2013-01-01;2017-12-31
16;bubblegum_pop;1;2013-01-01;2017-12-31
17;funk;6;2013-01-01;2017-12-31
18;urban_contemporary;98;2013-01-01;2017-12-31
19;country;285;2013-01-01;2017-12-31
20;r&b;131;2013-01-01;2017-12-31
21;post-teen_pop;416;2013-01-01;2017-12-31
22;new_wave_pop;6;2013-01-01;2017-12-31
23;contemporary_country;356;2013-01-01;2017-12-31
24;country_rock;1;2013-01-01;2017-12-31
25;country_road;288;2013-01-01;2017-12-31
26;trap;344;2013-01-01;2017-12-31
27;pop_rock;83;2013-01-01;2017-12-31
28;folk;4;2013-01-01;2017-12-31
29;southern_hip_hop;260;2013-01-01;2017-12-31
30;lounge;2;2013-01-01;2017-12-31
31;hip_pop;54;2013-01-01;2017-12-31
32;art_rock;5;2013-01-01;2017-12-31
33;dance_rock;6;2013-01-01;2017-12-31
34;classic_uk_pop;1;2013-01-01;2017-12-31
35;easy_listening;2;2013-01-01;2017-12-31
36;psychedelic_rock;2;2013-01-01;2017-12-31
37;gangster_rap;52;2013-01-01;2017-12-31
38;blues_rock;1;2013-01-01;2017-12-31
