index;Genre;Count;start_date;end_date
0;mellow_gold;11;2013-01-01;2018-12-31
1;soft_rock;4;2013-01-01;2018-12-31
2;adult_standards;45;2013-01-01;2018-12-31
3;brill_building_pop;28;2013-01-01;2018-12-31
4;rock;228;2013-01-01;2018-12-31
5;dance_pop;7204;2013-01-01;2018-12-31
6;pop;11439;2013-01-01;2018-12-31
7;soul;25;2013-01-01;2018-12-31
8;motown;11;2013-01-01;2018-12-31
9;pop_rap;7569;2013-01-01;2018-12-31
10;rap;7037;2013-01-01;2018-12-31
11;folk_rock;3;2013-01-01;2018-12-31
12;album_rock;4;2013-01-01;2018-12-31
13;classic_rock;4;2013-01-01;2018-12-31
14;quiet_storm;0;2013-01-01;2018-12-31
15;hip_hop;4296;2013-01-01;2018-12-31
16;rock-and-roll;0;2013-01-01;2018-12-31
17;bubblegum_pop;1;2013-01-01;2018-12-31
18;funk;8;2013-01-01;2018-12-31
19;classic_soul;0;2013-01-01;2018-12-31
20;urban_contemporary;1162;2013-01-01;2018-12-31
21;country;3768;2013-01-01;2018-12-31
22;r&b;1491;2013-01-01;2018-12-31
23;disco;0;2013-01-01;2018-12-31
24;post-teen_pop;5426;2013-01-01;2018-12-31
25;new_wave_pop;3;2013-01-01;2018-12-31
26;contemporary_country;4806;2013-01-01;2018-12-31
27;country_rock;14;2013-01-01;2018-12-31
28;country_road;3977;2013-01-01;2018-12-31
29;southern_soul;0;2013-01-01;2018-12-31
30;trap;4370;2013-01-01;2018-12-31
31;folk;3;2013-01-01;2018-12-31
32;pop_rock;1131;2013-01-01;2018-12-31
33;southern_hip_hop;2845;2013-01-01;2018-12-31
34;hard_rock;0;2013-01-01;2018-12-31
35;lounge;4;2013-01-01;2018-12-31
36;hip_pop;687;2013-01-01;2018-12-31
37;rockabilly;0;2013-01-01;2018-12-31
38;rhythm_and_blues;0;2013-01-01;2018-12-31
39;art_rock;46;2013-01-01;2018-12-31
40;dance_rock;5;2013-01-01;2018-12-31
41;merseybeat;0;2013-01-01;2018-12-31
42;new_jack_swing;0;2013-01-01;2018-12-31
43;easy_listening;14;2013-01-01;2018-12-31
44;doo-wop;0;2013-01-01;2018-12-31
45;classic_uk_pop;1;2013-01-01;2018-12-31
46;psychedelic_rock;43;2013-01-01;2018-12-31
47;gangster_rap;367;2013-01-01;2018-12-31
48;roots_rock;0;2013-01-01;2018-12-31
