index;Genre;start_date;end_date
mellow_gold;5;2013-01-01;2018-01-01
soft_rock;3;2013-01-01;2018-01-01
adult_standards;12;2013-01-01;2018-01-01
brill_building_pop;5;2013-01-01;2018-01-01
rock;21;2013-01-01;2018-01-01
dance_pop;576;2013-01-01;2018-01-01
pop;813;2013-01-01;2018-01-01
soul;5;2013-01-01;2018-01-01
motown;5;2013-01-01;2018-01-01
pop_rap;646;2013-01-01;2018-01-01
rap;586;2013-01-01;2018-01-01
folk_rock;2;2013-01-01;2018-01-01
album_rock;3;2013-01-01;2018-01-01
classic_rock;3;2013-01-01;2018-01-01
quiet_storm;1;2013-01-01;2018-01-01
hip_hop;427;2013-01-01;2018-01-01
bubblegum_pop;1;2013-01-01;2018-01-01
funk;6;2013-01-01;2018-01-01
urban_contemporary;98;2013-01-01;2018-01-01
country;285;2013-01-01;2018-01-01
r&b;131;2013-01-01;2018-01-01
post-teen_pop;416;2013-01-01;2018-01-01
new_wave_pop;6;2013-01-01;2018-01-01
contemporary_country;356;2013-01-01;2018-01-01
country_rock;1;2013-01-01;2018-01-01
country_road;288;2013-01-01;2018-01-01
trap;344;2013-01-01;2018-01-01
pop_rock;83;2013-01-01;2018-01-01
folk;4;2013-01-01;2018-01-01
southern_hip_hop;260;2013-01-01;2018-01-01
lounge;2;2013-01-01;2018-01-01
hip_pop;54;2013-01-01;2018-01-01
art_rock;5;2013-01-01;2018-01-01
dance_rock;6;2013-01-01;2018-01-01
classic_uk_pop;1;2013-01-01;2018-01-01
easy_listening;2;2013-01-01;2018-01-01
psychedelic_rock;2;2013-01-01;2018-01-01
gangster_rap;52;2013-01-01;2018-01-01
blues_rock;1;2013-01-01;2018-01-01
